Program Link,_id,University Name,Program Title,Area of Study,Target Group,Focus,combined_text,embedding
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-universitaet-dresden-computational-modelling-and-simulation-w61589/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w61589&hec-offset=340,6784dda11796e275dc3e0b50,Technische Universität Dresden,Computational Modelling and Simulation,"Mechanical Engineering, Applied Computer Science, Bioinformatics, Computer Science, Applied Mathematics",Unknown,"Computational Life Sciences, Computer Mathematics, Visual Computing, Computational Engineering, Computational Modelling in Energy Economics, Logic Modelling, Applied Artificial Intelligence (from winter semester of 2023/24)","Computational Modelling and Simulation | Mechanical Engineering, Applied Computer Science, Bioinformatics, Computer Science, Applied Mathematics | Computational Life Sciences, Computer Mathematics, Visual Computing, Computational Engineering, Computational Modelling in Energy Economics, Logic Modelling, Applied Artificial Intelligence (from winter semester of 2023/24) | Unknown","[-0.00567509 -0.02043165 -0.01322087 ... -0.0172475  -0.00310123
 -0.00896206]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-university-of-technology-computational-neuroscience-w15527/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w15527&hec-offset=341,6784dda11796e275dc3e0b51,Berlin University of Technology,Computational Neuroscience,"Biology, Medical Informatics",Graduates in a science or engineering subject or mathematics,Unknown,"Computational Neuroscience | Biology, Medical Informatics | Unknown | Graduates in a science or engineering subject or mathematics","[ 0.00770071  0.00770071  0.01966503 ... -0.03974985 -0.0148242
 -0.01315156]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-computational-neuroscience-w32499/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w32499&hec-offset=342,6784dda11796e275dc3e0b52,Eberhard Karls University Tübingen,Computational Neuroscience,"Neuropsychology, Computer Science","Area of Study and Research
The latest offshoot, the Graduate School of Neural Information Processing, started teaching in the winter term of 2011. This school covers theoretical and computational aspects of neuroscience, a field of research that has become increasingly important in the past years.
Apart from the Centre for Integrative Neuroscience CIN, major partners of this graduate school are the Tübingen Bernstein Centre for Computational Neuroscience BCCN and the newly established MPI for Intelligent Systems, which provide in addition to financial support scientists who make a considerable contribution to teaching and laboratory training.
Teaching Program   Curricular Focus
-  neural data analysis and models of neural coding and computation,
-  computational motor control and computational vision,
-  rehabilitation robotics and brain-computer interfaces,
-  physical and physiological basis of neural recordings and brain imaging,
-  systems neuroscience and neurophysiology,
-  basic mechanisms of learning and memory,
-  mathematics, statistics and programming,
-  machine learning for neuroscience,
-  theoretical neuroscience,
-  behaviour and cognition.","Computational Neuroscience, Neurobiology, Computer Science, Bioinformatics, Neuroinformatics, Artificial Intelligence, Neurophysics","Computational Neuroscience | Neuropsychology, Computer Science | Computational Neuroscience, Neurobiology, Computer Science, Bioinformatics, Neuroinformatics, Artificial Intelligence, Neurophysics | Area of Study and Research
The latest offshoot, the Graduate School of Neural Information Processing, started teaching in the winter term of 2011. This school covers theoretical and computational aspects of neuroscience, a field of research that has become increasingly important in the past years.
Apart from the Centre for Integrative Neuroscience CIN, major partners of this graduate school are the Tübingen Bernstein Centre for Computational Neuroscience BCCN and the newly established MPI for Intelligent Systems, which provide in addition to financial support scientists who make a considerable contribution to teaching and laboratory training.
Teaching Program   Curricular Focus
-  neural data analysis and models of neural coding and computation,
-  computational motor control and computational vision,
-  rehabilitation robotics and brain-computer interfaces,
-  physical and physiological basis of neural recordings and brain imaging,
-  systems neuroscience and neurophysiology,
-  basic mechanisms of learning and memory,
-  mathematics, statistics and programming,
-  machine learning for neuroscience,
-  theoretical neuroscience,
-  behaviour and cognition.","[-0.00567276  0.01442618  0.01821254 ... -0.02607026 -0.02950377
 -0.01886396]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/humboldt-university-berlin-computational-neuroscience-w68436/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w68436&hec-offset=343,6784dda11796e275dc3e0b53,Humboldt University Berlin,Computational Neuroscience,Neuroscience,Unknown,Unknown,Computational Neuroscience | Neuroscience | Unknown | Unknown,"[ 0.00665284  0.00414265  0.01968258 ... -0.02373878 -0.01530719
 -0.01764782]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-regensburg-computational-science-w42180/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w42180&hec-offset=344,6784dda11796e275dc3e0b54,University of Regensburg,Computational Science,"Biochemistry, Mathematics, Physics",Unknown,"Computational Science, Physics, Mathematics, Genomics","Computational Science | Biochemistry, Mathematics, Physics | Computational Science, Physics, Mathematics, Genomics | Unknown","[ 0.01089107 -0.00764437  0.0030837  ... -0.02098376 -0.01897454
 -0.00046488]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/munich-university-of-technology-computational-science-and-engineering-cse-w6204/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w6204&hec-offset=345,6784dda11796e275dc3e0b55,Munich University of Technology,Computational Science and Engineering (CSE),"Computer Science, Applied Mathematics",Unknown,"Numerical Analysis, Computer Architecture and Networks, Parallel Programming, Programming of Supercomputers, Visualisation, Computational Fluid Mechanics","Computational Science and Engineering (CSE) | Computer Science, Applied Mathematics | Numerical Analysis, Computer Architecture and Networks, Parallel Programming, Programming of Supercomputers, Visualisation, Computational Fluid Mechanics | Unknown","[ 0.01473163 -0.00758519  0.00681404 ... -0.02765505 -0.01431946
 -0.00963938]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/free-university-berlin-computational-sciences-w54278/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w54278&hec-offset=346,6784dda11796e275dc3e0b56,Free University Berlin,Computational Sciences,"Applied Computer Science, Applied Mathematics",Unknown,Unknown,"Computational Sciences | Applied Computer Science, Applied Mathematics | Unknown | Unknown","[ 0.01606915 -0.00729569  0.02293881 ... -0.02433671 -0.01310028
 -0.00453651]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-cologne-computational-sciences-w65825/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w65825&hec-offset=347,6784dda11796e275dc3e0b57,University of Cologne,Computational Sciences,Mathematics,Unknown,Unknown,Computational Sciences | Mathematics | Unknown | Unknown,"[ 0.02195576 -0.00696223  0.0168911  ... -0.01918957 -0.01301577
 -0.0127485 ]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-computer-aided-conception-and-production-in-mechanical-engineering-w27601/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w27601&hec-offset=348,6784dda21796e275dc3e0b58,RWTH Aachen University,Computer Aided Conception and Production in Mechanical Engineering,Mechanical Engineering,Bachelor's degree graduates in Engineering Sciences,Unknown,Computer Aided Conception and Production in Mechanical Engineering | Mechanical Engineering | Unknown | Bachelor's degree graduates in Engineering Sciences,"[-0.00295733 -0.02645441  0.00108551 ... -0.0275358  -0.0089676
  0.00535748]"
https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-fuer-technik-und-wirtschaft-dresden-university-of-applied-sciences-computer-and-geoscience-in-archaeology-w70340/?hec-degreeType=37&hec-teachingLanguage=2&hec-p=18&hec-id=w70340&hec-offset=349,6784dda21796e275dc3e0b59,Hochschule für Technik und Wirtschaft Dresden - University of Applied Sciences,Computer and Geoscience in Archaeology,"Geosciences, Geoinformatics",Unknown,Unknown,"Computer and Geoscience in Archaeology | Geosciences, Geoinformatics | Unknown | Unknown","[ 0.01681867 -0.01430051  0.02206705 ... -0.02010554 -0.01676566
  0.00261259]"
